"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"49","fhw7nl","sarrsha",0,2,5,1,2,1,3,2
"50","fhw7nl","sarrshacol",1,1,2,4,0,1,2,5
"51","gllg3z","diffarr",0,4,1,3,1,3,0,4
"52","gllg3z","sarr",0,2,0,6,0,0,1,7
"53","gllg3z","sarrcol",0,1,3,4,0,0,1,7
"54","gllg3z","sarrsha",0,3,1,4,0,2,3,3
"55","gllg3z","sarrshacol",0,1,5,2,1,2,1,4
"56","i534bc","diffarr",0,1,3,4,1,0,1,6
"57","i534bc","sarr",0,0,2,6,1,1,1,5
"58","i534bc","sarrcol",0,0,3,5,2,1,2,3
"59","i534bc","sarrsha",1,1,3,3,0,2,4,2
"60","i534bc","sarrshacol",1,1,4,2,0,2,5,1
"61","iheuof","diffarr",0,0,0,8,0,0,0,8
"62","iheuof","sarr",1,0,0,7,2,0,0,6
"63","iheuof","sarrcol",0,0,2,6,0,0,2,6
"64","iheuof","sarrsha",1,0,0,7,0,0,1,7
"65","iheuof","sarrshacol",1,0,0,7,0,0,0,8
"66","jijk0f","diffarr",0,0,3,5,0,1,2,5
"67","jijk0f","sarr",0,1,3,4,0,1,1,6
"68","jijk0f","sarrcol",0,2,2,4,0,1,1,6
"69","jijk0f","sarrsha",0,2,4,2,0,1,4,3
"70","jijk0f","sarrshacol",1,0,6,1,0,2,2,4
"71","k60zqv","diffarr",0,0,1,7,1,1,1,5
"72","k60zqv","sarr",0,2,3,3,1,0,2,5
"73","k60zqv","sarrcol",1,0,3,4,0,0,5,3
"74","k60zqv","sarrsha",0,0,2,6,1,1,4,2
"75","k60zqv","sarrshacol",0,1,3,4,0,1,4,3
"76","kancv4","diffarr",0,1,1,6,0,2,2,4
"77","kancv4","sarr",0,1,1,6,2,0,3,3
"78","kancv4","sarrcol",0,0,3,5,1,0,3,4
"79","kancv4","sarrsha",1,1,3,3,1,2,4,1
"80","kancv4","sarrshacol",1,0,4,3,0,2,4,2
"81","naiwum","diffarr",0,0,5,3,0,0,3,5
"82","naiwum","sarr",0,0,4,4,0,0,2,6
"83","naiwum","sarrcol",0,1,0,7,0,0,3,5
"84","naiwum","sarrsha",0,0,4,4,0,0,3,5
"85","naiwum","sarrshacol",1,0,4,3,0,0,2,6
"86","omkne6","diffarr",1,1,0,6,0,1,0,7
"87","omkne6","sarr",0,1,0,7,2,2,1,3
"88","omkne6","sarrcol",0,0,2,6,0,1,2,5
"89","omkne6","sarrsha",0,1,3,4,0,1,2,5
"90","omkne6","sarrshacol",0,3,3,2,0,3,3,2
"91","smo8c7","diffarr",0,0,1,7,1,1,1,5
"92","smo8c7","sarr",0,3,0,5,0,1,0,7
"93","smo8c7","sarrcol",0,0,2,6,0,3,1,4
"94","smo8c7","sarrsha",1,1,0,6,0,0,3,5
"95","smo8c7","sarrshacol",1,1,2,4,1,0,1,6
"96","ww03jo","diffarr",0,0,0,8,0,1,0,7
"97","ww03jo","sarr",0,3,0,5,1,0,1,6
"98","ww03jo","sarrcol",0,2,3,3,0,3,2,3
"99","ww03jo","sarrsha",0,0,2,6,1,0,1,6
"100","ww03jo","sarrshacol",1,3,4,0,0,2,3,3
"101","wx6xdw","diffarr",2,2,1,3,1,0,1,6
"102","wx6xdw","sarr",0,1,5,2,1,1,0,6
"103","wx6xdw","sarrcol",0,1,4,3,1,2,4,1
"104","wx6xdw","sarrsha",0,2,1,5,1,0,5,2
"105","wx6xdw","sarrshacol",0,0,4,4,1,1,5,1
"106","xiyfyv","diffarr",0,0,3,5,0,0,2,6
"107","xiyfyv","sarr",0,0,2,6,0,0,5,3
"108","xiyfyv","sarrcol",0,1,2,5,0,0,4,4
"109","xiyfyv","sarrsha",0,0,3,5,0,1,4,3
"110","xiyfyv","sarrshacol",0,0,4,4,0,0,6,2
"111","yytyg2","diffarr",1,0,2,5,1,0,0,7
"112","yytyg2","sarr",3,0,0,5,1,0,1,6
"113","yytyg2","sarrcol",1,0,2,5,0,0,3,5
"114","yytyg2","sarrsha",1,1,4,2,1,1,4,2
"115","yytyg2","sarrshacol",0,0,5,3,1,1,6,0
