"","id","type","NoneRespOld","MaybeRespOld","OldRespOld","NewRespOld","NoneRespNew","MaybeRespNew","OldRespNew","NewRespNew"
"31","d2kbci","diffarr",0,3,1,4,0,0,1,7
"32","d2kbci","sarr",0,2,0,6,0,5,0,3
"33","d2kbci","sarrcol",0,1,1,6,0,4,1,3
"34","d2kbci","sarrsha",0,2,3,3,0,2,2,4
"35","d2kbci","sarrshacol",1,3,0,4,0,3,1,4
"36","do55ye","diffarr",0,0,2,6,0,0,3,5
"37","do55ye","sarr",0,0,3,5,0,0,3,5
"38","do55ye","sarrcol",0,0,6,2,1,0,6,1
"39","do55ye","sarrsha",0,0,6,2,0,0,6,2
"40","do55ye","sarrshacol",1,0,3,4,0,0,5,3
"41","e1q9h1","diffarr",0,1,3,4,0,2,0,6
"42","e1q9h1","sarr",0,3,0,5,0,2,1,5
"43","e1q9h1","sarrcol",0,2,3,3,0,5,1,2
"44","e1q9h1","sarrsha",0,1,4,3,0,3,5,0
"45","e1q9h1","sarrshacol",1,1,5,1,0,3,4,1
"46","ew6qqz","diffarr",0,2,0,6,0,1,0,7
"47","ew6qqz","sarr",0,0,1,7,2,0,2,4
"48","ew6qqz","sarrcol",0,0,3,5,0,2,2,4
"49","ew6qqz","sarrsha",1,1,2,4,0,1,3,4
"50","ew6qqz","sarrshacol",1,2,2,3,0,1,4,3
"51","ezfr2v","diffarr",0,0,2,6,0,0,1,7
"52","ezfr2v","sarr",0,0,2,6,0,0,2,6
"53","ezfr2v","sarrcol",1,0,5,2,0,0,6,2
"54","ezfr2v","sarrsha",0,0,2,6,0,1,4,3
"55","ezfr2v","sarrshacol",2,0,4,2,0,0,4,4
"56","h8424e","diffarr",0,0,2,6,0,1,1,6
"57","h8424e","sarr",1,1,2,4,0,0,4,4
"58","h8424e","sarrcol",0,0,5,3,0,0,6,2
"59","h8424e","sarrsha",0,0,5,3,0,2,6,0
"60","h8424e","sarrshacol",1,0,5,2,0,0,5,3
"61","hwo24d","diffarr",1,1,1,5,1,0,1,6
"62","hwo24d","sarr",0,0,4,4,2,0,4,2
"63","hwo24d","sarrcol",0,0,4,4,1,0,4,3
"64","hwo24d","sarrsha",0,0,6,2,0,0,3,5
"65","hwo24d","sarrshacol",2,0,2,4,1,0,3,4
"66","ibnlz3","diffarr",0,2,2,4,0,0,2,6
"67","ibnlz3","sarr",0,4,1,3,0,2,0,6
"68","ibnlz3","sarrcol",0,0,1,7,0,2,4,2
"69","ibnlz3","sarrsha",0,0,1,7,0,1,1,6
"70","ibnlz3","sarrshacol",1,1,2,4,0,2,3,3
"71","ibwynf","diffarr",1,0,3,4,0,0,2,6
"72","ibwynf","sarr",0,1,4,3,0,0,2,6
"73","ibwynf","sarrcol",0,0,5,3,0,0,5,3
"74","ibwynf","sarrsha",1,2,3,2,0,0,4,4
"75","ibwynf","sarrshacol",1,0,6,1,0,0,6,2
"76","kjubx9","diffarr",0,2,1,5,0,1,1,6
"77","kjubx9","sarr",1,3,2,2,0,1,3,4
"78","kjubx9","sarrcol",0,2,5,1,0,1,4,3
"79","kjubx9","sarrsha",0,0,6,2,1,0,6,1
"80","kjubx9","sarrshacol",1,1,5,1,2,0,4,2
"81","njndx3","diffarr",1,0,0,7,0,0,2,6
"82","njndx3","sarr",1,0,4,3,1,1,5,1
"83","njndx3","sarrcol",1,0,4,3,1,1,4,2
"84","njndx3","sarrsha",0,0,4,4,0,0,5,3
"85","njndx3","sarrshacol",0,0,7,1,0,1,6,1
"86","nrjxn1","diffarr",0,1,4,3,1,1,1,5
"87","nrjxn1","sarr",0,1,4,3,1,0,1,6
"88","nrjxn1","sarrcol",1,1,3,3,0,0,4,4
"89","nrjxn1","sarrsha",0,0,7,1,0,0,4,4
"90","nrjxn1","sarrshacol",0,1,4,3,1,1,3,3
"91","oywcp2","diffarr",0,0,3,5,0,0,1,7
"92","oywcp2","sarr",0,1,1,6,0,0,3,5
"93","oywcp2","sarrcol",0,0,3,5,0,0,0,8
"94","oywcp2","sarrsha",0,0,4,4,0,0,5,3
"95","oywcp2","sarrshacol",1,0,3,4,0,0,2,6
"96","pvc0rw","diffarr",0,3,0,5,0,1,1,6
"97","pvc0rw","sarr",0,0,1,7,0,0,0,8
"98","pvc0rw","sarrcol",1,0,5,2,1,2,4,1
"99","pvc0rw","sarrsha",0,1,1,6,1,1,3,3
"100","pvc0rw","sarrshacol",1,2,1,4,1,0,3,4
"101","v1453j","diffarr",0,3,2,3,1,1,2,4
"102","v1453j","sarr",0,3,3,2,1,3,1,3
"103","v1453j","sarrcol",0,0,4,4,0,5,2,1
"104","v1453j","sarrsha",0,5,3,0,0,2,3,3
"105","v1453j","sarrshacol",1,0,3,4,0,6,1,1
"106","w6orye","diffarr",0,0,0,8,0,1,0,7
"107","w6orye","sarr",0,2,2,4,0,0,1,7
"108","w6orye","sarrcol",0,2,2,4,0,2,2,4
"109","w6orye","sarrsha",1,1,2,4,0,2,2,4
"110","w6orye","sarrshacol",1,2,0,5,0,3,2,3
"111","xschiu","diffarr",0,2,2,4,0,1,0,7
"112","xschiu","sarr",0,1,2,5,1,1,0,6
"113","xschiu","sarrcol",0,2,2,4,0,1,3,4
"114","xschiu","sarrsha",0,1,1,6,0,1,3,4
"115","xschiu","sarrshacol",1,1,5,1,0,2,4,2
